Date,Gia_vang,Gia_dau,Chi_so_bien_dong,Ty_gia_USD_VND,Gia_vang_the_gioi,Lai_suat_%,So_nguoi_mua,So_nguoi_ban,Gia_vang_tg
2025-07-22 23:00:00+00:00,3439.199951,66.20999908,16.5,26120,316.1000061,0.4,4259,1000,3161.000061
2025-07-23 04:00:00+00:00,3394.100098,65.25,15.36999989,26120,312.1799927,0.4,4451,1000,3121.799927
2025-07-23 23:00:00+00:00,3394.100098,65.25,15.36999989,26120,312.1799927,0.4,4451,1000,3121.799927
2025-07-24 04:00:00+00:00,3371,66.02999878,15.39000034,26120,310.269989,0.4,4544,1000,3102.69989
2025-07-24 23:00:00+00:00,3371,66.02999878,15.39000034,26110,310.269989,0.4,4544,1000,3102.69989
2025-07-25 04:00:00+00:00,3334,65.16000366,14.93000031,26110,307.3999939,0.4,4684,1000,3073.999939
2025-07-27 23:00:00+00:00,3334,65.16000366,14.93000031,26120,307.3999939,0.4,4684,1000,3073.999939
2025-07-28 04:00:00+00:00,3309.100098,66.70999908,15.02999973,26120,305.4100037,0.4,4782,1000,3054.100037
2025-07-28 23:00:00+00:00,3309.100098,66.70999908,15.02999973,26165,305.4100037,0.4,4782,1000,3054.100037
2025-07-29 04:00:00+00:00,3323.399902,69.20999908,15.97999954,26165,306.25,0.4,4741,1000,3062.5
2025-07-29 23:00:00+00:00,3323.399902,69.20999908,15.97999954,26195,306.25,0.4,4741,1000,3062.5
2025-07-30 04:00:00+00:00,3295.800049,70,15.47999954,26195,300.9599915,0.4,5000,1000,3009.599915
2025-07-30 23:00:00+00:00,3295.800049,70,15.47999954,26200,300.9599915,0.4,5000,1000,3009.599915
2025-07-31 04:00:00+00:00,3293.199951,69.26000214,16.71999931,26200,302.9599915,0.4,4902,1000,3029.599915
2025-07-31 23:00:00+00:00,3293.199951,69.26000214,16.71999931,26197,302.9599915,0.4,4902,1000,3029.599915
2025-08-01 04:00:00+00:00,3347.699951,67.33000183,20.37999916,26197,309.1099854,0.4,4601,1000,3091.099854
2025-08-03 23:00:00+00:00,3347.699951,67.33000183,20.37999916,26190,309.1099854,0.4,4601,1000,3091.099854
2025-08-04 04:00:00+00:00,3374.399902,66.29000092,17.52000046,26190,310.9100037,0.4,4513,1000,3109.100037
2025-08-04 23:00:00+00:00,3374.399902,66.29000092,17.52000046,26174,310.9100037,0.4,4513,1000,3109.100037
2025-08-05 04:00:00+00:00,3381.899902,65.16000366,17.85000038,26174,311.1600037,0.4,4500,1000,3111.600037
2025-08-05 23:00:00+00:00,3381.899902,65.16000366,17.85000038,26225,311.1600037,0.4,4500,1000,3111.600037
2025-08-06 04:00:00+00:00,3380,64.34999847,16.77000046,26225,310.5,0.4,4533,1000,3105
2025-08-06 23:00:00+00:00,3380,64.34999847,16.77000046,26200,310.5,0.4,4533,1000,3105
2025-08-07 04:00:00+00:00,3400.300049,63.88000107,16.56999969,26200,313.1199951,0.4,4405,1000,3131.199951
